Date,Close,Open,High,Low,Volume,Change
2018-06-29,34.52,34.6,34.6,34.12,581270,0.0138
2018-07-02,34.48,34.12,34.48,34.12,67950,-0.0012
2018-07-03,34.59,34.59,34.59,34.59,0,0.0032
2018-07-04,34.58,34.66,34.66,34.58,4460,-0.0003
2018-07-06,34.94,34.87,34.95,34.86,9650,0.0104
2018-07-10,35.23,35.29,35.29,35.23,28380,0.0083
2018-07-11,34.77,34.84,34.84,34.77,20000,-0.0131
2018-07-12,34.73,34.73,34.73,34.73,0,-0.0012
2018-07-13,35.1,35.1,35.1,35.1,0,0.0107
2018-07-16,35.03,35.03,35.03,35.03,0,-0.002
2018-07-17,34.82,34.84,34.84,34.82,7760,-0.006
2018-07-18,35.34,35.31,35.35,35.31,11930,0.0149
2018-07-19,35.23,35.29,35.29,35.23,16310,-0.0031
2018-07-24,35.3,35.3,35.3,35.3,0,0.002
2018-07-25,35.25,35.25,35.25,35.25,0,-0.0014
2018-07-26,35.49,35.49,35.49,35.49,0,0.0068
2018-07-27,35.78,35.78,35.78,35.78,0,0.0082
2018-07-31,35.8,35.66,35.8,35.66,33060,0.0006
2018-08-01,35.66,35.69,35.69,35.66,2340,-0.0039
2018-08-02,35.22,35.34,35.34,35.22,13180,-0.0123
2018-08-03,35.29,35.34,35.34,35.29,5890,0.002
2018-08-06,35.37,35.37,35.37,35.37,0,0.0023
2018-08-07,35.65,35.65,35.65,35.65,0,0.0079
2018-08-08,35.5,35.5,35.5,35.5,0,-0.0042
2018-08-09,35.46,35.46,35.46,35.46,0,-0.0011
2018-08-14,34.62,34.75,34.75,34.62,8720,-0.0237
2018-08-16,34.33,34.12,34.33,34.12,9610,-0.0084
2018-08-17,34.13,34.2,34.2,34.13,5280,-0.0058
2018-08-21,34.7,34.7,34.7,34.7,0,0.0167
2018-08-31,34.56,34.85,34.85,34.53,302700,-0.004
2018-09-03,34.43,34.43,34.43,34.43,0,-0.0038
2018-09-04,34.35,34.35,34.35,34.35,0,-0.0023
2018-09-07,33.31,33.31,33.31,33.31,0,-0.0303
2018-09-11,33.38,33.38,33.38,33.38,0,0.0021
2018-09-14,33.98,33.96,33.98,33.87,7140,0.018
2018-09-17,33.44,33.36,33.44,33.36,6690,-0.0159
2018-09-18,33.49,33.53,33.53,33.49,16440,0.0015
2018-09-19,33.51,33.53,33.53,33.51,18580,0.0006
2018-09-20,34.02,33.7,34.03,33.7,21970,0.0152
2018-09-21,34.26,34.3,34.3,34.21,128510,0.0071
2018-09-24,34.09,34.07,34.1,34.07,96850,-0.005
2018-09-25,34.2,34.16,34.23,34.16,137510,0.0032
2018-09-26,34.27,34.27,34.27,34.27,0,0.002
2018-09-28,34.05,34.05,34.05,34.05,0,-0.0064
2018-10-01,34.19,34.19,34.19,34.19,0,0.0041
2018-10-02,33.81,33.95,33.95,33.81,23520,-0.0111
2018-10-03,33.98,33.98,33.98,33.98,0,0.005
2018-10-04,33.8,33.96,33.96,33.8,12560,-0.0053
2018-10-08,33.12,33.25,33.25,33.12,62130,-0.0201
2018-10-09,33.15,32.94,33.26,32.94,22570,0.0009
2018-10-10,32.89,33.14,33.14,32.89,18000,-0.0078
2018-10-11,32.33,32.34,32.41,32.18,143730,-0.017
2018-10-12,32.05,32.11,32.11,32.05,50480,-0.0087
2018-10-15,31.98,31.98,31.98,31.98,0,-0.0022
2018-10-17,32.6,32.6,32.6,32.6,0,0.0194
2018-10-18,32.56,32.56,32.56,32.56,0,-0.0012
2018-10-19,32.24,32.26,32.26,32.24,55680,-0.0098
2018-10-23,31.49,31.66,31.66,31.49,111430,-0.0233
2018-10-24,31.68,31.88,31.88,31.68,3510,0.006
2018-10-25,31.58,31.59,31.59,31.48,18380,-0.0032
2018-10-26,31.12,31.16,31.16,31.12,5560,-0.0146
2018-10-29,31.77,31.5,31.82,31.5,332680,0.0209
2018-10-30,31.36,31.53,31.53,31.36,9290,-0.0129
2018-10-31,32.13,32.08,32.13,32.08,9010,0.0246
2018-11-01,32.09,32.1,32.1,32.09,553000,-0.0012
2018-11-02,32.48,32.54,32.54,32.48,5240,0.0122
2018-11-05,32.28,32.28,32.28,32.28,0,-0.0062
2018-11-06,32.16,32.24,32.24,32.05,41920,-0.0037
2018-11-07,32.55,32.33,32.55,32.33,77520,0.0121
2018-11-08,32.33,32.47,32.47,32.33,80,-0.0068
2018-11-09,32.12,32.16,32.16,32.12,4160,-0.0065
2018-11-13,32.14,32.09,32.14,32.09,8000,0.0006
2018-11-14,31.96,31.96,31.96,31.96,0,-0.0056
2018-11-15,32.01,32.01,32.01,32.01,0,0.0016
2018-11-22,31.39,31.58,31.58,31.39,160690,-0.0194
